specobjid,plateid,mjd,fiberid,z,ra,dec,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,oi_6300_flux_err,sii_6717_flux_err,sii_6731_flux_err
299498473068193792,266,51602,33,0.04809635,147.3295,0.02890269,493.3123,108.99,56.12985,314.7067,21.15904,86.07532,66.01417,-15.06859,-9.34267,7.533938,4.814839,4.77438,6.283885,4.061823,4.662892,4.58691
299499298171676672,266,51630,36,0.04808582,147.3295,0.02890269,510.6647,91.71097,55.35548,367.8763,19.59912,80.1356,70.84364,-15.40855,-10.87734,6.506711,3.794378,3.821943,5.501723,3.269828,3.816991,3.800198
299500947439118336,266,51630,42,0.09755617,146.5656,-1.084742,169.8101,24.93788,135.8997,248.9264,37.83519,98.01175,76.62032,-7.641179,-9.346181,5.768546,4.248411,5.443582,5.930826,4.222079,5.460168,5.027933
299501221847263232,266,51602,43,0.09757023,146.5656,-1.084742,163.2021,26.14359,139.3042,236.6659,23.83848,80.85685,75.19833,-7.406698,-9.198482,5.884135,4.360184,5.642763,6.007775,4.322546,5.732742,5.279211
299503421340280832,266,51630,51,0.06490172,146.5128,-0.8457649,1151.211,257.9409,95.84792,563.4586,32.05777,194.4022,153.6808,-38.92533,-18.94033,9.593594,4.88587,4.246964,6.08935,3.17575,4.352325,4.440993
299504245504239616,266,51602,54,0.06492077,146.5128,-0.8457649,1138.16,249.5379,91.97394,551.7997,30.28721,193.648,163.149,-38.33392,-18.61221,9.833528,5.047501,4.381531,6.458068,3.354001,4.610995,4.515121
299504245974001664,266,51630,54,0.1146793,146.4483,-0.7133996,919.3564,194.093,203.211,384.8589,30.05624,140.5348,110.5897,-59.87991,-25.23525,8.633987,3.75711,8.831159,4.72942,2.113387,3.134246,2.835191
299505894771681280,266,51602,60,0.1146981,146.4483,-0.7133996,863.9615,192.5399,131.3203,350.6291,31.44542,136.0053,105.1476,-56.77903,-23.32922,8.067708,3.768797,6.47548,5.059785,2.312924,3.368287,3.291207
299509193776326656,266,51630,72,0.02196459,146.8568,-0.2740402,168.5709,53.58604,111.6831,16.38062,9.332932,34.46608,21.96995,-40.99857,-4.238671,2.579092,2.570964,3.207255,1.387947,1.560234,2.449173,1.682344
299511667207727104,266,51602,81,0.06738941,146.2348,-1.152769,615.6885,115.5547,47.01003,186.2628,19.10643,117.1578,82.45193,-56.85926,-17.32648,5.857655,2.98964,2.834701,3.032482,1.868355,2.750722,2.511887
299513316944930816,266,51630,87,0.06741422,146.2348,-1.152769,625.9243,117.5592,51.88348,187.5996,22.94478,125.9418,82.95983,-59.226,-17.77728,5.773787,3.160311,2.842988,2.99105,1.862804,2.783081,2.508759
299513866230982656,266,51602,89,0.004810433,146.0078,-0.6422716,21890.45,6294.01,34156.34,237.1074,152.2562,543.2649,411.4301,-1534.378,-18.85289,115.9569,36.37886,227.36,3.324665,3.129722,5.531954,4.853157
