specObjID,ra,dec,z,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,oiii_5007_flux,oiii_5007_flux_err,nii_6584_flux,nii_6584_flux_err,oi_6300_flux,oi_6300_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err
299489677444933632,146.71421,-1.0413043,0.02122228,472.5904,10.04917,119.4956,6.650275,68.39606,6.610639,224.1136,8.453454,18.59493,6.560489,124.7115,7.912864,84.18053,7.951251
299490502078654464,146.62857,-0.76513683,0.06465632,99.40005,3.448143,25.64047,2.906838,21.44437,3.302969,51.59155,3.155578,8.490424,2.520172,35.33497,2.919328,21.65778,2.860605
299491051834468352,146.63167,-0.98827781,0.05265425,127.3058,2.640886,38.33226,2.279489,35.46671,2.388157,25.78963,1.602235,6.269853,1.4906,30.26996,1.771175,25.72297,1.672436
299491326712375296,146.91945,-0.99049175,0.2138606,13.32324,3.539865,7.017897,2.622802,8.564038,1.859954,13.52668,3.400891,4.218018,2.064703,6.758259,2.088206,4.062315,2.094504
299492701101910016,146.9639,-0.54500256,0.05598059,195.5197,3.023592,42.86956,2.540211,16.26119,2.387796,61.2213,2.193481,2.18458,1.408354,33.027,1.817386,24.30562,1.697664
299492975979816960,146.9635,-0.75935173,0.09708638,21.55664,1.586433,3.303172,1.875802,17.7017,2.409042,15.84072,1.774974,3.169814,1.803224,12.78111,2.638137,7.073156,1.812439
299493250857723904,146.94999,-0.59220225,0.06477907,229.1325,3.449572,60.80691,2.776852,29.73346,2.717081,73.87218,2.368429,7.237874,1.747506,45.46917,2.103271,33.85824,2.069172
299493800613537792,146.85983,-0.80890165,0.1265899,11.44371,2.443888,4.320487,2.156648,11.25784,3.689347,19.36126,3.198584,0.5923256,2.608486,10.42876,3.250823,6.200619,3.101165
299494075491444736,146.59272,-0.76025604,0.06495924,206.2126,3.444913,46.94843,2.55519,14.43169,2.63401,74.37387,2.565654,4.169487,1.857638,35.02016,2.188791,26.93752,2.176801
299494350369351680,146.8577,-0.66285236,0.08429205,29.84661,1.806702,10.79047,1.962,0.2394872,2.222431,10.09893,1.70688,3.174782,2.252799,0.6164054,2.870511,5.914584,2.079346
299495724758886400,147.02336,-0.16009352,0.2156694,37.98845,3.171893,3.402148,2.516303,4.281445,1.85043,14.31235,2.431906,1.640761,2.013818,5.214409,2.247645,0.8574655,2.332232
299496274514700288,146.95607,-0.34230044,0.1346802,77.04804,4.473909,22.93367,4.354447,20.20715,4.527743,58.8709,4.075502,12.49198,2.998065,36.77939,4.800887,37.11067,4.698905
299496824270514176,147.17639,-0.35405684,0.006282841,129.3038,2.598131,47.89519,2.70301,62.74385,3.046623,12.78085,1.560944,1.014319,1.582948,23.64687,1.79274,15.88207,1.64666
299497648904235008,147.22569,-0.29262062,0.1336352,39.90361,2.659256,9.582579,2.576872,5.163755,2.694847,15.94356,2.308564,3.102972,1.8149,12.04137,3.484102,1.372628,3.515119
299498473537955840,147.24805,-0.035723556,0.08419658,17.71392,3.453466,4.550806,3.37382,12.78992,3.352459,18.44492,3.049992,1.891501,3.159852,1.464673,3.800425,1.65791,3.18359
299499023293769728,146.9201,-0.30646208,0.1314801,43.18211,3.647987,7.084506,3.810711,17.37961,4.762015,26.94582,3.504529,0.9807664,2.765662,14.35359,7.429067,3.97719,4.545387
